微信消息记录     导出时间:2017-01-08 15:20:13
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
ID                            时间                     联系人                   状态                类型                消息
2215573545@chatroom           2016-12-25 22:04:39      194-JH2016JC             接收                文本                [强]
2215573545@chatroom           2016-12-25 22:07:06      241DrPP                  接收                文本                【打卡】有氧搏击操45分钟，肩部手臂60分钟
2215573545@chatroom           2016-12-25 22:08:46      我                       发送                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-25 22:09:08      我                       发送                文本                哈，这两周先用图片[嘿哈]
2215573545@chatroom           2016-12-25 22:10:04      241DrPP                  接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-25 22:18:22      245-霍志斌               接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-25 22:18:32      245-霍志斌               接收                文本                【打卡】keep 22 分钟
2215573545@chatroom           2016-12-25 22:19:07      013yuncengshangdeyangguang接收                文本                【打卡】keep21分钟
2215573545@chatroom           2016-12-25 22:19:08      013yuncengshangdeyangguang接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 06:30:33      大肘棒                   接收                文本                @BadGirl 大王辛苦了
2215573545@chatroom           2016-12-26 07:20:42      002diantian              接收                文本                @BadGirl 大王辛苦了
2215573545@chatroom           2016-12-26 07:20:58      002diantian              接收                网页                微信红包
                                                                                          https://wxapp.tenpay.com/mmpayhb/wxhb_personalreceive?showwxpaytitle=1&msgtype=1&channelid=1&sendid=1000030801201612266005748093974&ver=6&sign=53765cb1bca21d5dc4a46f89aa9cde146e805b2b1fd574652ee8178c6984ac3ff3e6d42fcaf9731a432be12e84b9c03490dd9eda05b45370fff09219566e15c9efb28cd9f1637300a11be3079e38f216ad6d3e338187d2b373828d68f834eb0d
2215573545@chatroom           2016-12-26 07:26:08      120-Avenue               接收                网页                微信红包
                                                                                          https://wxapp.tenpay.com/mmpayhb/wxhb_personalreceive?showwxpaytitle=1&msgtype=1&channelid=1&sendid=1000035601201612267004730136897&ver=6&sign=8abcfea844ebe589e869a7975c8e268a0f3286dbe28e2ff89fd36f5b9bb3a32d13fbaf29c2074ad6ee82f9237d68984f663e2e1686053714002693058edbff1577522090b6d5b67583179ed13a3dd423d44dc36a212927a7ffdc67c47f5d7861
2215573545@chatroom           2016-12-26 07:34:05      百合燕燕                 接收                文本                还好有大王的统计 我以为这个星期没达标 还打算发红包呢[捂脸]
2215573545@chatroom           2016-12-26 07:34:13      百合燕燕                 接收                文本                原来我打了三次卡了[偷笑]
2215573545@chatroom           2016-12-26 07:42:13      110-江涛骇浪             接收                文本                就这周红包抢的多[憨笑][憨笑]
2215573545@chatroom           2016-12-26 07:47:16      liuxiangguo              接收                网页                微信红包
                                                                                          https://wxapp.tenpay.com/mmpayhb/wxhb_personalreceive?showwxpaytitle=1&msgtype=1&channelid=1&sendid=1000040801201612266006206872727&ver=6&sign=d653143ec7cc561f156bb3f9164423f45e3b6160d40f1004ed12447935f8c0c287c44fcd62087d56ca9193b70e2b1e1866b97192be4a722eab3eeea56a762882f91bafa05c3674b055bfc0bb88af90e61e5224db8cd8686b3c0c10ae04ae3c3b
2215573545@chatroom           2016-12-26 07:47:54      002diantian              接收                文本                哈哈[憨笑] 抢到一个了
2215573545@chatroom           2016-12-26 07:48:13      186-沂顾                 接收                文本                抢到一个，哈哈
2215573545@chatroom           2016-12-26 07:58:47      070-期待的使者           接收                网页                
                                                                                          
2215573545@chatroom           2016-12-26 07:59:07      070-期待的使者           接收                文本                【打卡】跑步73分钟
2215573545@chatroom           2016-12-26 13:02:35      158-图腾                 接收                文本                【打卡】二头，三头40分钟，有氧25fenz
2215573545@chatroom           2016-12-26 13:20:25      194-JH2016JC             接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 13:20:44      194-JH2016JC             接收                文本                【打卡】keep31分钟
2215573545@chatroom           2016-12-26 18:06:55      林行                     接收                文本                【打卡】羽毛球+60min
2215573545@chatroom           2016-12-26 18:07:01      林行                     接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 18:33:52      013yuncengshangdeyangguang接收                文本                【打卡】健身房50分钟
2215573545@chatroom           2016-12-26 18:33:57      013yuncengshangdeyangguang接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 18:49:04      110-江涛骇浪             接收                文本                【打卡】跑步+29分钟
2215573545@chatroom           2016-12-26 18:49:05      110-江涛骇浪             接收                网页                我用 悦跑圈 跑了5.16公里
                                                                                          http://wap.thejoyrun.com/po_11574120_96033712.html
2215573545@chatroom           2016-12-26 19:38:02      182zhuangxiaozhuang      接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 19:38:03      182zhuangxiaozhuang      接收                文本                【打卡】keep  27min  ➕单车15min
2215573545@chatroom           2016-12-26 20:23:56      186-沂顾                 接收                文本                【打卡】跑步20min+单车40min
2215573545@chatroom           2016-12-26 20:24:06      186-沂顾                 接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 20:24:20      111daya                  接收                文本                【打卡】健身房+羽毛球+keep 210min
2215573545@chatroom           2016-12-26 20:24:29      111daya                  接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 20:24:30      111daya                  接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 20:24:31      111daya                  接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 20:33:49      200ZR                    接收                文本                【打卡】跑步+32min
2215573545@chatroom           2016-12-26 20:33:53      200ZR                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 21:09:18      林行                     接收                文本                @北京海淀 ～塔雅 [强]
2215573545@chatroom           2016-12-26 21:11:16      111daya                  接收                文本                还差得很远
2215573545@chatroom           2016-12-26 21:14:18      liuxiangguo              接收                文本                【打卡】keep 30min
2215573545@chatroom           2016-12-26 21:14:23      liuxiangguo              接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 21:22:08      小男孩飞向中南海🇨�   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 21:22:10      小男孩飞向中南海🇨�   接收                文本                【打卡】羽毛球120min
2215573545@chatroom           2016-12-26 21:40:45      105-七七_seven           接收                文本                【打卡】keep 71min
2215573545@chatroom           2016-12-26 21:40:48      105-七七_seven           接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 21:44:33      201-海龙201hailong       接收                文本                【打卡】keep 66分钟
2215573545@chatroom           2016-12-26 21:44:36      201-海龙201hailong       接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 21:57:59      183-littletwo            接收                文本                【打卡】跑步35分钟
2215573545@chatroom           2016-12-26 21:58:03      183-littletwo            接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 22:32:46      245-霍志斌               接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 22:32:47      245-霍志斌               接收                文本                【打卡】keep 22 分钟
2215573545@chatroom           2016-12-26 22:35:56      194-JH2016JC             接收                文本                @北京海淀 ～塔雅 [捂脸]
2215573545@chatroom           2016-12-26 22:36:21      194-JH2016JC             接收                文本                这身材都不咋滴，你还好点
2215573545@chatroom           2016-12-26 22:36:25      111daya                  接收                文本                咋的啦翔吗
2215573545@chatroom           2016-12-26 22:36:51      111daya                  接收                文本                正因为不咋地才要刻苦努力吗
2215573545@chatroom           2016-12-26 22:37:45      194-JH2016JC             接收                文本                @北京海淀 ～塔雅 就是瞎掰掰，评论下[耶]
2215573545@chatroom           2016-12-26 22:38:14      小男孩飞向中南海🇨�   接收                文本                @浙江～翔妈 晚安
2215573545@chatroom           2016-12-26 22:38:35      111daya                  接收                文本                欢迎点评，哈哈哈
2215573545@chatroom           2016-12-26 22:39:54      194-JH2016JC             接收                文本                @弄潮儿 晚安😴💤
2215573545@chatroom           2016-12-26 23:41:04      我                       发送                文本                【打卡】跑2017+2h
2215573545@chatroom           2016-12-26 23:41:11      我                       发送                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-26 23:43:02      122yuxian                接收                文本                [强][强][强]
2215573545@chatroom           2016-12-26 23:43:30      199-董晓文               接收                文本                [强][强]
2215573545@chatroom           2016-12-26 23:46:31      161-@(ㅎ︵ㅎ)@           接收                文本                [强][强]
2215573545@chatroom           2016-12-27 06:46:24      小男孩飞向中南海🇨�   接收                文本                @浙江～翔妈 早
2215573545@chatroom           2016-12-27 07:25:36      131-Kenzi                接收                文本                [強][強]
2215573545@chatroom           2016-12-27 07:28:23      070-期待的使者           接收                网页                
                                                                                          
2215573545@chatroom           2016-12-27 07:29:19      070-期待的使者           接收                文本                【打卡】跑步51分钟
2215573545@chatroom           2016-12-27 08:06:52      194-JH2016JC             接收                文本                @弄潮儿 早[耶]
2215573545@chatroom           2016-12-27 08:07:01      194-JH2016JC             接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-27 08:07:19      194-JH2016JC             接收                文本                【打卡】keep 48分钟
2215573545@chatroom           2016-12-27 08:21:56      105-七七_seven           接收                文本                【请假】12/27～1/2 生理期
2215573545@chatroom           2016-12-27 12:51:53      158-图腾                 接收                文本                【打卡】有氧40分钟，腹肌25分钟
2215573545@chatroom           2016-12-27 18:44:37      110-江涛骇浪             接收                文本                【请假】跑步+28分钟
2215573545@chatroom           2016-12-27 18:44:38      110-江涛骇浪             接收                网页                我用 悦跑圈 跑了5.05公里
                                                                                          http://sharesdk.thejoyrun.com/1NLexv
2215573545@chatroom           2016-12-27 18:46:17      我                       发送                文本                啥请假跑步😂@江涛骇浪 
2215573545@chatroom           2016-12-27 18:46:50      111daya                  接收                动画表情            [动画表情]
2215573545@chatroom           2016-12-27 18:46:51      110-江涛骇浪             接收                文本                发错了
2215573545@chatroom           2016-12-27 18:46:56      110-江涛骇浪             接收                文本                @BadGirl 抱歉抱歉
2215573545@chatroom           2016-12-27 18:47:27      110-江涛骇浪             接收                文本                【打卡】跑步+28分钟
